"name","magnet_link","Size","File","Age","Seed","Leech","Type"
"Museum Hours 2012 1080p BluRay H264 AAC RARBG","magnet:?xt=urn:btih:46dccab4bf77a950c874e75e2036fcce75f363d2&dn=Museum Hours 2012 1080p BluRay H264 AAC RARBG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","2.03 GB","3","4 hours ago","22","43","Movie"
"Mary Shelley 2017 720p BluRay H264 AAC RARBG","magnet:?xt=urn:btih:3fee457fe894dc5075ecd496dc6a6b2ba1116d31&dn=Mary Shelley 2017 720p BluRay H264 AAC RARBG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.47 GB","6","4 hours ago","0","0","Movie"
"Mary Shelley 2017 1080p BluRay H264 AAC RARBG","magnet:?xt=urn:btih:08da88a269a782666b69e3cf09826db6cb4cf3b4&dn=Mary Shelley 2017 1080p BluRay H264 AAC RARBG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","2.31 GB","6","4 hours ago","61","83","Movie"
"Evocateur The Morton Downey Jr Movie 2012 720p BluRay H264 AAC RARBG","magnet:?xt=urn:btih:d6116301405787f0f7fae1f25232e2bdcb5a13d8&dn=Evocateur The Morton Downey Jr Movie 2012 720p BluRay H264 AAC RARBG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.08 GB","2","4 hours ago","15","16","Movie"
"Mary Shelley 2018 BRRip XviD AC3-EVO[TGx]","magnet:?xt=urn:btih:c33e17b5b71a965e2298859a381c1f29ff732d13&dn=Mary Shelley 2018 BRRip XviD AC3-EVO[TGx]&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.39 GB","3","6 hours ago","16","29","Movie"
"Billionaire Boys Club 2018 LiMiTED DVDRip x264-LPD[TGx]","magnet:?xt=urn:btih:c903a0406179fa43facf1df72f9157fd030d44bf&dn=Billionaire Boys Club 2018 LiMiTED DVDRip x264-LPD[TGx]&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","663.23 MB","7","6 hours ago","13","11","Movie"
"Mary Shelley 2017 720p BluRay X264-AMIABLE[TGx]","magnet:?xt=urn:btih:aa76e923b7db791c66b1bbcba2cc7544003acdaa&dn=Mary Shelley 2017 720p BluRay X264-AMIABLE[TGx]&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","5.51 GB","7","6 hours ago","2","3","Movie"
"Occupation 101 (2006) Documentary","magnet:?xt=urn:btih:2fd1ef3bc02ffb590b84f4bb16151e85e8350fd6&dn=Occupation 101 (2006) Documentary&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","602.30 MB","1","8 hours ago","28","14","Movie"
"A Hijacking 2012 LIMITED 1080p BluRay x264 IGUANA","magnet:?xt=urn:btih:c62bb64ab3ec587aaafcc6e70c99ddad034bdaa8&dn=A Hijacking 2012 LIMITED 1080p BluRay x264 IGUANA&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","7.64 GB","2","8 hours ago","14","48","Movie"
"Devils Knot 2013 LIMITED 1080p BluRay x264 IGUANA","magnet:?xt=urn:btih:fd5deabd4c47fd2b16f835d0ac9021fa9a6d05b5&dn=Devils Knot 2013 LIMITED 1080p BluRay x264 IGUANA&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","7.94 GB","2","8 hours ago","23","39","Movie"
