"name","magnet_link","Size","File","Age","Seed","Leech","Type"
"Summer Scars 2007 720p BluRay H264 AAC RARBG","magnet:?xt=urn:btih:d4accc9df2da987af6ba46f86b048de813148620&dn=Summer Scars 2007 720p BluRay H264 AAC RARBG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","843.20 MB","2","3 days ago","21","6","Movie"
"Colditz 2005 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:08c8c1075b1b343326631a7d975e069a33b0cd66&dn=Colditz 2005 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","2.26 GB","2","3 days ago","56","43","Movie"
"Who Loves The Sun 2006 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:e53eb6525f4df6b1b3ee08b733f5a77b752ecc4e&dn=Who Loves The Sun 2006 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.19 GB","2","3 days ago","14","13","Movie"
"Sleeping Beauty (1959) Cartoon movie 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad","magnet:?xt=urn:btih:3f23e558df2983fc4a30c84f02b332ac49199ca5&dn=Sleeping Beauty (1959) Cartoon movie 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.26 GB","3","3 days ago","3","10","Movie"
"One Hundred and One Dalmatians (1961) 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad","magnet:?xt=urn:btih:31644240baae03ce472b54d29e34bcc24ad5795d&dn=One Hundred and One Dalmatians (1961) 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","3.04 GB","2","3 days ago","4","10","Movie"
"Alice in Wonderland (1951) Cartoon movie 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad","magnet:?xt=urn:btih:d9909dcbbab4931656e1aa97313d2adbc667381c&dn=Alice in Wonderland (1951) Cartoon movie 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.53 GB","3","3 days ago","8","7","Movie"
"101 Dalmatians II (2003) Cartoon movie 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad","magnet:?xt=urn:btih:b6d4133e04505cd188e8851bde72ffc61245aaec&dn=101 Dalmatians II (2003) Cartoon movie 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.35 GB","3","3 days ago","2","2","Movie"
"Ice Age 5 Collision Course (2016) 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad","magnet:?xt=urn:btih:80fe6eecfe1895b788d707de46de01eb0b250ff8&dn=Ice Age 5 Collision Course (2016) 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.79 GB","3","3 days ago","5","9","Movie"
"Ice Age 4 Continental Drift (2012) 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad","magnet:?xt=urn:btih:3fab5e2c86f34a7825c0309a0deaa115f8f22008&dn=Ice Age 4 Continental Drift (2012) 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.69 GB","3","3 days ago","5","4","Movie"
"Ice Age 3 Dawn of the Dinosaurs (2009) 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad","magnet:?xt=urn:btih:45adfaf7651254989ffaf6633cac73ac2c515af5&dn=Ice Age 3 Dawn of the Dinosaurs (2009) 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","3.08 GB","3","3 days ago","5","7","Movie"
"Ice Age 2 The Meltdown ( 2006) Cartoon movie 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad","magnet:?xt=urn:btih:a6f3e8abf4fc0ff2f0ce79f819a1372dac97383a&dn=Ice Age 2 The Meltdown ( 2006) Cartoon movie 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.58 GB","3","3 days ago","3","6","Movie"
"Ice Age (2002) Cartoon movie 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad","magnet:?xt=urn:btih:db9cc87e0301088435f87ce872cf6a035deaec59&dn=Ice Age (2002) Cartoon movie 1080p H264 AC 3 (DTS 5 1) Remastered & nickarad&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.41 GB","3","3 days ago","3","4","Movie"
"Armed 2018 1080p WEB DL DD 5 1 x264 [MW]","magnet:?xt=urn:btih:ae9a0dcd3dc3b8ec5990240a97dd410d3c263d7f&dn=Armed 2018 1080p WEB DL DD 5 1 x264 [MW]&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.97 GB","1","3 days ago","25","5","Movie"
"Sniper Reloaded 2011 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:f1634ffe6e85156c5a7269384e60bb19c87d94ec&dn=Sniper Reloaded 2011 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.05 GB","3","3 days ago","10","11","Movie"
"The Mrs Clause 2008 1080p BluRay H264 AAC RARBG","magnet:?xt=urn:btih:8721d2ed66df8e6aad31ccfee39b1a0211b61d8d&dn=The Mrs Clause 2008 1080p BluRay H264 AAC RARBG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.68 GB","2","3 days ago","18","5","Movie"
"Sacrifice 2011 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:e1f052ff8755b75f799b3baf52e49d5fd16dca5d&dn=Sacrifice 2011 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.12 GB","3","3 days ago","10","10","Movie"
"Gigantic 2008 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:bd6ed06000d5ca30753ebc34da0c1fbd0a75e9a5&dn=Gigantic 2008 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.13 GB","2","3 days ago","1","21","Movie"
"Ticking Clock 2011 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:50bc3e7aa5b9cc7c675f30b909b2bc87f39549a1&dn=Ticking Clock 2011 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.20 GB","2","3 days ago","1","2","Movie"
"Resting Place 1986 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:6f8fabad8c066206385d6027e0f5d8f4024fa3b7&dn=Resting Place 1986 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.19 GB","2","3 days ago","14","10","Movie"
"Hollywood And Wine 2010 720p BluRay H264 AAC RARBG","magnet:?xt=urn:btih:fa3080dca80690bf52ce5cdba2adad2db41c9f9d&dn=Hollywood And Wine 2010 720p BluRay H264 AAC RARBG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.20 GB","2","3 days ago","8","3","Movie"
"Lightning Strikes 2009 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:f205db80ffea9e4b25fb97e283e3cd210fb7037e&dn=Lightning Strikes 2009 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.07 GB","3","3 days ago","22","17","Movie"
"Baby Blues 2008 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:91ec12547cb1842ac2f6e31345aeee6b246645b8&dn=Baby Blues 2008 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","991.98 MB","2","3 days ago","16","9","Movie"
"The Girl In The Park 2007 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:daf6aba289482a0608cad7a3b51c5a751d5aad6b&dn=The Girl In The Park 2007 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.32 GB","2","3 days ago","19","17","Movie"
"Moving Mcallister 2007 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:4ffdf34514d742dd77d87748846aa159ed85ffeb&dn=Moving Mcallister 2007 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.13 GB","2","3 days ago","12","9","Movie"
"Cougars Inc 2011 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:fe0d09f98c3f55ba7150e1868a736320c4428b40&dn=Cougars Inc 2011 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","931.73 MB","2","3 days ago","13","6","Movie"
"2012 Ice Age 2011 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:0164a4c9ff8b88b56a064f95da6d443356444ccb&dn=2012 Ice Age 2011 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.16 GB","2","3 days ago","27","9","Movie"
"Dark Island 2010 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:134392a618a420124dde497e111ec9c34fcd5b09&dn=Dark Island 2010 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.10 GB","2","3 days ago","38","20","Movie"
"Restrepo 2010 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:bb6fdd5c90e85f51671b3023a55da886ed4a4d1f&dn=Restrepo 2010 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.18 GB","3","3 days ago","29","14","Movie"
"Ice Quake 2010 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:342e094d06b3ccb222d31d632186aa2c5e999211&dn=Ice Quake 2010 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.10 GB","2","3 days ago","26","24","Movie"
"Growing Op 2008 1080p BluRay H264 AAC RARBG","magnet:?xt=urn:btih:e68ecc4574d1d2780946c7ac87a2446a3530f7ec&dn=Growing Op 2008 1080p BluRay H264 AAC RARBG&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.90 GB","2","3 days ago","39","12","Movie"
"Chain Letter 2010 BRRip XviD MP3 XVID","magnet:?xt=urn:btih:c7b0a42d41c18e1249b9e5ea1ce80e7ad5743e11&dn=Chain Letter 2010 BRRip XviD MP3 XVID&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.10 GB","3","3 days ago","15","13","Movie"
"Warning Shot 2018 Movies 720p HDRip x264 5 1 with Sample ☻rDX☻","magnet:?xt=urn:btih:60eeacf56a5bffa3091035424cd2443029118fd5&dn=Warning Shot 2018 Movies 720p HDRip x264 5 1 with Sample ☻rDX☻&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","899.00 MB","2","3 days ago","0","0","Movie"
"Warning Shot 2018 Movies 720p HDRip x264 AAC with Sample ☻rDX☻","magnet:?xt=urn:btih:3b21e16bf75e611a7b83ba56d4c78b30486845cd&dn=Warning Shot 2018 Movies 720p HDRip x264 AAC with Sample ☻rDX☻&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","781.73 MB","2","3 days ago","0","0","Movie"
"The Defender 1994 WEBRip x264 ION10","magnet:?xt=urn:btih:9eeccb070158db914c0f386322629e52d4f032ed&dn=The Defender 1994 WEBRip x264 ION10&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","887.45 MB","3","4 days ago","48","20","Movie"
"The Swimmers 2014 CANTONESE DUBBED BDRip x264 REGRET","magnet:?xt=urn:btih:76e6526a474ae99c2e08c6ee5754630a2af1b008&dn=The Swimmers 2014 CANTONESE DUBBED BDRip x264 REGRET&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","572.26 MB","5","4 days ago","26","10","Movie"
"Lynyrd Skynyrd Gone With The Wind 2015 WEBRip x264 ION10","magnet:?xt=urn:btih:200fe41b3e7e5bd26ec24462f4cceecf55261e47&dn=Lynyrd Skynyrd Gone With The Wind 2015 WEBRip x264 ION10&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.63 GB","3","4 days ago","69","23","Movie"
"Varasto 2 2018 1080p BluRay x264 FiCO","magnet:?xt=urn:btih:c92694bb2179721e8f48a3c44d8a0a50607002da&dn=Varasto 2 2018 1080p BluRay x264 FiCO&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","8.75 GB","3","4 days ago","12","27","Movie"
"E Demon 2018 WEBRip 1080p x264","magnet:?xt=urn:btih:3f41a450ebbad0b5df471c674b49dfda5fe5187e&dn=E Demon 2018 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.35 GB","2","4 days ago","191","141","Movie"
"The Producers 1967 BluRay 1080p x264","magnet:?xt=urn:btih:07114a6180773567cf61a7b4b987fac473e948a9&dn=The Producers 1967 BluRay 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.41 GB","2","4 days ago","225","111","Movie"
"E Demon 2018 WEBRip 720p x264","magnet:?xt=urn:btih:3e5178bdfc1bee72f3317e3b8acab77d26f78b9f&dn=E Demon 2018 WEBRip 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","715.42 MB","2","4 days ago","199","196","Movie"
"The Producers 1967 BluRay 720p x264","magnet:?xt=urn:btih:3dfaf9c21aae8425b0fb0d285059885c9fb1666c&dn=The Producers 1967 BluRay 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","739.30 MB","2","4 days ago","113","23","Movie"
"Alien Predator 2018 WEBRip 1080p x264","magnet:?xt=urn:btih:1236f39c167ede5c7031ea92e5d97c2e9b6abdce&dn=Alien Predator 2018 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.40 GB","2","4 days ago","1,260","424","Movie"
"Alien Predator 2018 WEBRip 720p x264","magnet:?xt=urn:btih:f07d99a2b50d33909a07a9c9baa74ff814e41ec3&dn=Alien Predator 2018 WEBRip 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","738.70 MB","2","4 days ago","971","325","Movie"
"Danger One 2018 WEBRip 1080p x264","magnet:?xt=urn:btih:cb5e014192bd99932efa6affe533d755ed6f88cc&dn=Danger One 2018 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.64 GB","2","4 days ago","195","85","Movie"
"Hes Out There 2018 WEBRip 1080p x264","magnet:?xt=urn:btih:79d8936ec049adcd94b1aa6930d862eab751bca4&dn=Hes Out There 2018 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.44 GB","2","4 days ago","421","160","Movie"
"Another Time 2018 WEBRip 1080p x264","magnet:?xt=urn:btih:abe414c2c510d26f4bd5f9ea29e5729a64f60eb2&dn=Another Time 2018 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.43 GB","2","4 days ago","760","427","Movie"
"The Angel 2018 WEBRip 1080p x264","magnet:?xt=urn:btih:6c6baf7a7d4168f276a64e86cd357a98be28c452&dn=The Angel 2018 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.83 GB","2","4 days ago","393","197","Movie"
"Mandy 2018 WEBRip 1080p x264","magnet:?xt=urn:btih:eeed25aae693a1e6885404bcedc962c34b4867a6&dn=Mandy 2018 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.95 GB","2","4 days ago","1,473","482","Movie"
"Another Time 2018 WEBRip 720p x264","magnet:?xt=urn:btih:3c19f229710eb24718c422538de88096d442dc65&dn=Another Time 2018 WEBRip 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","761.53 MB","2","4 days ago","692","199","Movie"
"Armed 2018 WEBRip 1080p x264","magnet:?xt=urn:btih:d8a56ee896bc3ca6629b91733d3e8d22de8491e7&dn=Armed 2018 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.93 GB","2","4 days ago","339","178","Movie"
"Hes Out There 2018 WEBRip 720p x264","magnet:?xt=urn:btih:a81c74b69dca513a8cf3b99a0ba7de39995889ec&dn=Hes Out There 2018 WEBRip 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","777.57 MB","2","4 days ago","730","620","Movie"
"The Land of Steady Habits 2018 WEBRip 720p x264","magnet:?xt=urn:btih:0c954eff92bc2a475797d761e9a0aba9cfdd25f5&dn=The Land of Steady Habits 2018 WEBRip 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","841.30 MB","2","4 days ago","386","124","Movie"
"Final Score 2018 WEBRip 1080p x264","magnet:?xt=urn:btih:378cca2cee2805f8ce1aa0bc22b4db944f06f79d&dn=Final Score 2018 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.68 GB","2","4 days ago","1,374","550","Movie"
"The Angel 2018 WEBRip 720p x264","magnet:?xt=urn:btih:7c9ff461e2fc18d2471f68ee05383da120e35c3f&dn=The Angel 2018 WEBRip 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","979.64 MB","2","4 days ago","535","714","Movie"
"Danger One 2018 WEBRip 720p x264","magnet:?xt=urn:btih:4c62a13ec38bfb1819ef04958f5cff5ed7fb8104&dn=Danger One 2018 WEBRip 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","876.80 MB","2","4 days ago","381","223","Movie"
"The Basement 2018 WEBRip 1080p x264","magnet:?xt=urn:btih:248ede6dd340d956918b30b298f241f2dd62e17d&dn=The Basement 2018 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.42 GB","2","4 days ago","248","427","Movie"
"Armed 2018 WEBRip 720p x264","magnet:?xt=urn:btih:4d175a56fdf37fb0eb1e6b6bcca168f9d327314e&dn=Armed 2018 WEBRip 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.00 GB","2","4 days ago","681","423","Movie"
"Mandy 2018 WEBRip 720p x264","magnet:?xt=urn:btih:150af5f6e23dbc3fe18ae3eec2fc76b271a44091&dn=Mandy 2018 WEBRip 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.02 GB","2","4 days ago","1,882","814","Movie"
"Reversing Roe 2018 WEBRip 1080p x264","magnet:?xt=urn:btih:2d57c54b50c34c6d0b837e510741c1bcc6cb21bd&dn=Reversing Roe 2018 WEBRip 1080p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","1.59 GB","2","4 days ago","289","155","Movie"
"Reversing Roe 2018 WEBRip 720p x264","magnet:?xt=urn:btih:00f67a429612ad5a8253a8caf1d3f32e4c250a23&dn=Reversing Roe 2018 WEBRip 720p x264&tr=udp://tracker.leechers-paradise.org:6969&tr=udp://tracker.coppersurfer.tk:6969&tr=udp://tracker.opentrackr.org:1337&tr=udp://tracker.pirateparty.gr:6969&tr=udp://eddie4.nl:6969","841.39 MB","2","4 days ago","262","115","Movie"
